,show,Num. Characters,Avg. Path Len.,Binary Avg. Path Len,Diameter,Binary Diameter,Mean Degree,Stdev Degree,Mean Weight,Stdev Weight,Clustering Coef,Modularity,Connect. Thresh,"Connect. Thresh, ptile"
2,One Piece,1475,20.144635468136200,2.459316974449790,83.34410774410780,5.0,83.1471186440678,77.80485399547460,0.12721510211871300,0.14682291152889100,0.6870527327737650,0.6454282049359280,0.030273651123046900,39.937313286644800
3,Naruto All,553,24.49039404600950,2.3090913855911100,160.15384615384600,5.0,36.24231464737790,44.8052149557203,0.1216463576669110,0.1823938783192020,0.8044162139743980,0.6105640908636090,0.012187202453613300,17.099602911978800
4,Dragon Ball,586,30.718132312106500,2.085032525305560,392.2631578947370,4.0,67.89078498293520,73.40940192175720,0.1534360450565110,0.19737202221190200,0.8476855126320990,0.534878693441108,0.004649276733398440,5.765313373442610
5,JoJo,428,21.511960513399700,2.7234892424872500,63.086309523809500,5.0,24.02803738317760,21.594914572659700,0.21565638326371900,0.23359916590330900,0.8334729708910690,0.7771501983858020,0.023787528991699200,6.082191780821920
6,Bleach,316,13.941694103574300,1.9534056660638900,58.4,4.0,61.177215189873400,46.945634998468100,0.1552670187554840,0.16548316773948200,0.7370592985090800,0.4503009867861730,0.031226371765136700,25.203126209084600
